ngram,f,a,m,sd
with quantum,1,1,1.0,0.0
drives at,1,1,1.0,0.0
at their,5,5,1.0,0.0
their disposal,1,1,1.0,0.0
"disposal ,",1,1,1.0,0.0
", exoworlds",26,1,26.0,0.0
inc. launched,1,1,1.0,0.0
launched its,1,1,1.0,0.0
its first,7,4,1.75,0.82915619758885
first manned,1,1,1.0,0.0
manned mission,1,1,1.0,0.0
mission :,1,1,1.0,0.0
the odyssey,7,3,2.3333333333333335,1.247219128924647
odyssey voyager,2,1,2.0,0.0
voyager i.,1,1,1.0,0.0
i. a,1,1,1.0,0.0
of six,1,1,1.0,0.0
six astronauts,1,1,1.0,0.0
astronauts embarked,1,1,1.0,0.0
embarked on,17,8,2.125,1.3635890143294642
on a,22,12,1.8333333333333333,0.9860132971832694
a journey,6,5,1.2,0.4
journey to,9,6,1.5,0.5
to mars,7,4,1.75,1.299038105676658
mars aboard,1,1,1.0,0.0
aboard this,1,1,1.0,0.0
this state-of-the-art,1,1,1.0,0.0
state-of-the-art spacecraft,1,1,1.0,0.0
"spacecraft ,",2,2,1.0,0.0
", marking",3,3,1.0,0.0
marking humanity,1,1,1.0,0.0
's return,1,1,1.0,0.0
return to,1,1,1.0,0.0
to the,99,17,5.823529411764706,4.218102362822956
the red,4,3,1.3333333333333333,0.4714045207910317
red planet,6,3,2.0,1.4142135623730951
planet after,1,1,1.0,0.0
after nearly,1,1,1.0,0.0
nearly 50,1,1,1.0,0.0
50 years,1,1,1.0,0.0
years since,3,2,1.5,0.5
since nasa,1,1,1.0,0.0
nasa 's,1,1,1.0,0.0
's last,1,1,1.0,0.0
last visit,1,1,1.0,0.0
visit in,1,1,1.0,0.0
the late,1,1,1.0,0.0
late 21st,1,1,1.0,0.0
21st century,1,1,1.0,0.0
century .,1,1,1.0,0.0
the successful,2,2,1.0,0.0
successful touchdown,1,1,1.0,0.0
touchdown and,1,1,1.0,0.0
and deployment,2,2,1.0,0.0
deployment of,2,2,1.0,0.0
of an,15,10,1.5,0.6708203932499369
an experimental,2,2,1.0,0.0
experimental colony,1,1,1.0,0.0
colony module,1,1,1.0,0.0
module at,1,1,1.0,0.0
at jezero,1,1,1.0,0.0
jezero crater,1,1,1.0,0.0
crater marked,1,1,1.0,0.0
marked a,2,2,1.0,0.0
a historic,2,2,1.0,0.0
historic milestone,1,1,1.0,0.0
milestone for,1,1,1.0,0.0
for both,12,8,1.5,0.7071067811865476
both exoworlds,1,1,1.0,0.0
inc. and,1,1,1.0,0.0
and our,6,5,1.2,0.4
our species,8,3,2.6666666666666665,0.4714045207910317
species as,1,1,1.0,0.0
as a,116,19,6.105263157894737,2.9180876369745503
a whole,2,2,1.0,0.0
"whole ,",1,1,1.0,0.0
", demonstrating",4,4,1.0,0.0
demonstrating that,2,2,1.0,0.0
that mars,1,1,1.0,0.0
mars was,1,1,1.0,0.0
was not,8,6,1.3333333333333333,0.4714045207910317
not only,97,19,5.105263157894737,3.654769585106783
only reachable,1,1,1.0,0.0
reachable but,1,1,1.0,0.0
but also,98,19,5.157894736842105,4.170865843401884
also suitable,1,1,1.0,0.0
suitable for,5,3,1.6666666666666667,0.4714045207910317
for human,4,3,1.3333333333333333,0.4714045207910317
human habitation,3,2,1.5,0.5
habitation under,1,1,1.0,0.0
under carefully,3,3,1.0,0.0
carefully controlled,3,3,1.0,0.0
controlled conditions,3,3,1.0,0.0
conditions .,11,10,1.1,0.3
the success,9,6,1.5,0.5
success of,12,8,1.5,0.7071067811865476
of the,82,18,4.555555555555555,2.4088314876309775
voyager i,1,1,1.0,0.0
i mission,1,1,1.0,0.0
mission spurred,1,1,1.0,0.0
spurred unprecedented,1,1,1.0,0.0
unprecedented interest,1,1,1.0,0.0
interest in,12,7,1.7142857142857142,1.3850513878332367
exploration among,2,2,1.0,0.0
among people,3,2,1.5,0.5
people across,1,1,1.0,0.0
across earth,10,2,5.0,4.0
"earth ,",19,8,2.375,1.3169567191065923
", capturing",1,1,1.0,0.0
capturing the,1,1,1.0,0.0
the world,43,15,2.8666666666666667,1.8208667044996885
world 's,7,6,1.1666666666666667,0.3726779962499649
's imagination,1,1,1.0,0.0
imagination and,2,1,2.0,0.0
and inspiring,3,3,1.0,0.0
inspiring a,2,2,1.0,0.0
a new,44,15,2.933333333333333,2.3795424396766327
new generation,7,4,1.75,0.4330127018922193
generation to,1,1,1.0,0.0
to consider,1,1,1.0,0.0
consider careers,1,1,1.0,0.0
careers as,2,2,1.0,0.0
as astronauts,1,1,1.0,0.0
astronauts or,1,1,1.0,0.0
or astrophysicists,1,1,1.0,0.0
astrophysicists .,2,2,1.0,0.0
sterling capitalized,1,1,1.0,0.0
capitalized on,1,1,1.0,0.0
on this,20,8,2.5,1.5
this renewed,2,2,1.0,0.0
renewed enthusiasm,1,1,1.0,0.0
enthusiasm by,1,1,1.0,0.0
by establishing,4,3,1.3333333333333333,0.4714045207910317
establishing exoworlds,1,1,1.0,0.0
's flagship,2,1,2.0,0.0
flagship educational,1,1,1.0,0.0
educational initiative,2,2,1.0,0.0
initiative :,1,1,1.0,0.0
: ``,6,3,2.0,1.4142135623730951
`` stars,1,1,1.0,0.0
stars for,2,2,1.0,0.0
for everyone,1,1,1.0,0.0
everyone .,1,1,1.0,0.0
. '',13,8,1.625,0.9921567416492215
'' this,5,5,1.0,0.0
this program,3,3,1.0,0.0
program aimed,2,2,1.0,0.0
aimed to,4,3,1.3333333333333333,0.4714045207910317
to provide,8,4,2.0,1.0
provide young,1,1,1.0,0.0
young students,1,1,1.0,0.0
students worldwide,2,2,1.0,0.0
worldwide with,3,3,1.0,0.0
with access,1,1,1.0,0.0
access to,14,6,2.3333333333333335,1.5986105077709065
to cutting-edge,2,2,1.0,0.0
cutting-edge stem,1,1,1.0,0.0
stem education,1,1,1.0,0.0
education and,26,7,3.7142857142857144,5.848425568702491
and resources,13,9,1.4444444444444444,0.6849348892187752
"resources ,",11,9,1.2222222222222223,0.628539361054709
", fostering",12,9,1.3333333333333333,0.4714045207910317
fostering a,19,11,1.7272727272727273,0.8624393618641034
new era,15,7,2.142857142857143,1.124858267715973
era of,9,4,2.25,0.82915619758885
of space,11,4,2.75,1.7853571071357126
space innovation,1,1,1.0,0.0
innovation and,24,15,1.6,1.083205120618128
and entrepreneurship,3,3,1.0,0.0
entrepreneurship .,1,1,1.0,0.0
. in,129,17,7.588235294117647,4.433280866215711
the years,13,8,1.625,0.8569568250501305
years that,3,3,1.0,0.0
that followed,2,2,1.0,0.0
"followed ,",2,2,1.0,0.0
inc. continued,2,1,2.0,0.0
continued its,9,5,1.8,1.1661903789690602
its impressive,1,1,1.0,0.0
impressive string,1,1,1.0,0.0
string of,1,1,1.0,0.0
of achievements,1,1,1.0,0.0
achievements :,1,1,1.0,0.0
: establishing,1,1,1.0,0.0
establishing partnerships,1,1,1.0,0.0
partnerships with,8,4,2.0,1.7320508075688772
with international,8,6,1.3333333333333333,0.4714045207910317
international space,2,2,1.0,0.0
space agencies,4,3,1.3333333333333333,0.4714045207910317
agencies ;,1,1,1.0,0.0
; developing,1,1,1.0,0.0
developing pioneering,1,1,1.0,0.0
pioneering artificial,1,1,1.0,0.0
artificial intelligence,10,8,1.25,0.6614378277661477
intelligence systems,1,1,1.0,0.0
systems for,2,2,1.0,0.0
for autonomous,1,1,1.0,0.0
autonomous operations,1,1,1.0,0.0
operations aboard,1,1,1.0,0.0
aboard deep-space,1,1,1.0,0.0
deep-space vessels,1,1,1.0,0.0
vessels ;,1,1,1.0,0.0
; constructing,1,1,1.0,0.0
constructing a,1,1,1.0,0.0
a fleet,6,4,1.5,0.5
fleet of,10,5,2.0,0.8944271909999159
of reusable,1,1,1.0,0.0
reusable spacecraft,1,1,1.0,0.0
spacecraft capable,1,1,1.0,0.0
of regular,1,1,1.0,0.0
regular missions,1,1,1.0,0.0
missions between,1,1,1.0,0.0
between earth,5,1,5.0,0.0
earth and,22,5,4.4,4.223742416388575
the moon,5,3,1.6666666666666667,0.9428090415820634
moon or,4,2,2.0,1.0
or mars,4,2,2.0,1.0
"mars ,",6,4,1.5,0.8660254037844386
", ensuring",35,16,2.1875,1.2358574958303243
ensuring reliable,1,1,1.0,0.0
reliable transportation,1,1,1.0,0.0
transportation networks,3,2,1.5,0.5
networks within,1,1,1.0,0.0
our solar,20,5,4.0,2.0976176963403033
system .,15,6,2.5,1.118033988749895
. as,211,18,11.722222222222221,6.837848553419867
as exoworlds,5,1,5.0,0.0
's reputation,4,3,1.3333333333333333,0.4714045207910317
reputation grew,1,1,1.0,0.0
"grew ,",3,2,1.5,0.5
", so",9,7,1.2857142857142858,0.45175395145262565
so too,9,7,1.2857142857142858,0.45175395145262565
too did,4,3,1.3333333333333333,0.4714045207910317
did its,2,1,2.0,0.0
its ambition,1,1,1.0,0.0
ambition :,1,1,1.0,0.0
: to,1,1,1.0,0.0
to reach,2,1,2.0,0.0
reach even,1,1,1.0,0.0
even further,5,5,1.0,0.0
further into,3,2,1.5,0.5
into the,36,14,2.5714285714285716,1.8789923482808435
the cosmos,25,5,5.0,3.03315017762062
cosmos in,1,1,1.0,0.0
in search,7,6,1.1666666666666667,0.37267799624996495
search of,7,6,1.1666666666666667,0.37267799624996495
of new,10,7,1.4285714285714286,0.4948716593053935
new habitable,1,1,1.0,0.0
habitable worlds,2,2,1.0,0.0
worlds for,1,1,1.0,0.0
's future,6,4,1.5,0.5
future colonies,1,1,1.0,0.0
colonies .,6,3,2.0,0.816496580927726
. leveraging,1,1,1.0,0.0
leveraging advanced,1,1,1.0,0.0
advanced telescopes,1,1,1.0,0.0
telescopes and,1,1,1.0,0.0
and interstellar,1,1,1.0,0.0
interstellar probes,1,1,1.0,0.0
probes equipped,1,1,1.0,0.0
equipped with,28,13,2.1538461538461537,2.142828965720634
with state-of-the-art,7,5,1.4,0.4898979485566356
state-of-the-art sensors,3,2,1.5,0.5
"sensors ,",1,1,1.0,0.0
's dedicated,1,1,1.0,0.0
dedicated scientists,1,1,1.0,0.0
scientists began,1,1,1.0,0.0
began cataloging,1,1,1.0,0.0
cataloging nearby,1,1,1.0,0.0
nearby exoplanets,2,1,2.0,0.0
exoplanets that,1,1,1.0,0.0
that might,2,2,1.0,0.0
might harbor,1,1,1.0,0.0
harbor life,1,1,1.0,0.0
life or,1,1,1.0,0.0
or offer,1,1,1.0,0.0
offer conditions,1,1,1.0,0.0
conditions conducive,1,1,1.0,0.0
conducive to,3,3,1.0,0.0
to terraforming,1,1,1.0,0.0
terraforming .,1,1,1.0,0.0
. one,18,8,2.25,1.299038105676658
one such,11,8,1.375,0.6959705453537527
such planet,1,1,1.0,0.0
"planet ,",7,4,1.75,0.82915619758885
", named",1,1,1.0,0.0
named gaia,1,1,1.0,0.0
gaia 's,33,1,33.0,0.0
's hope,33,1,33.0,0.0
hope in,3,3,1.0,0.0
in honor,2,2,1.0,0.0
honor of,2,2,1.0,0.0
of earth,14,8,1.75,1.0897247358851685
the aspirations,2,2,1.0,0.0
aspirations it,1,1,1.0,0.0
it represents,1,1,1.0,0.0
represents for,1,1,1.0,0.0
for interstellar,6,4,1.5,0.5
interstellar humanity,1,1,1.0,0.0
"humanity ,",1,1,1.0,0.0
", emerged",1,1,1.0,0.0
emerged as,8,8,1.0,0.0
a prime,1,1,1.0,0.0
prime candidate,1,1,1.0,0.0
candidate for,1,1,1.0,0.0
for future,28,13,2.1538461538461537,1.4058205294228512
future colonization,1,1,1.0,0.0
colonization efforts,2,2,1.0,0.0
efforts .,12,8,1.5,0.5
. located,1,1,1.0,0.0
located within,1,1,1.0,0.0
own galaxy,1,1,1.0,0.0
galaxy and,2,1,2.0,0.0
and orbiting,1,1,1.0,0.0
orbiting a,2,2,1.0,0.0
a sun-like,1,1,1.0,0.0
sun-like star,1,1,1.0,0.0
star approximately,1,1,1.0,0.0
approximately 20,1,1,1.0,0.0
20 light,1,1,1.0,0.0
light years,1,1,1.0,0.0
years from,1,1,1.0,0.0
from earth,6,5,1.2,0.4
", this",12,10,1.2,0.4
this world,1,1,1.0,0.0
world possessed,1,1,1.0,0.0
possessed an,2,2,1.0,0.0
an atmosphere,1,1,1.0,0.0
atmosphere rich,1,1,1.0,0.0
rich with,2,2,1.0,0.0
with oxygen,2,2,1.0,0.0
oxygen ;,1,1,1.0,0.0
; a,12,4,3.0,1.224744871391589
a diverse,3,3,1.0,0.0
diverse ecosystem,2,2,1.0,0.0
ecosystem of,2,2,1.0,0.0
of plants,1,1,1.0,0.0
plants and,3,2,1.5,0.5
and animals,3,2,1.5,0.5
animals that,1,1,1.0,0.0
that thrived,6,2,3.0,2.0
thrived on,3,2,1.5,0.5
on its,13,9,1.4444444444444444,0.6849348892187752
its surface,3,3,1.0,0.0
surface ;,1,1,1.0,0.0
; and,2,1,2.0,0.0
and an,9,6,1.5,0.7637626158259734
an abundance,4,3,1.3333333333333333,0.4714045207910317
abundance of,5,4,1.25,0.4330127018922193
of resources,4,4,1.0,0.0
resources like,3,3,1.0,0.0
like water,1,1,1.0,0.0
"water ,",3,3,1.0,0.0
", mineranguese",1,1,1.0,0.0
"mineranguese ,",1,1,1.0,0.0
and fertile,1,1,1.0,0.0
fertile soil,1,1,1.0,0.0
soil .,3,2,1.5,0.5
the challenge,4,3,1.3333333333333333,0.4714045207910317
challenge for,2,2,1.0,0.0
for exoworlds,1,1,1.0,0.0
's engineers,2,2,1.0,0.0
engineers was,1,1,1.0,0.0
was to,2,2,1.0,0.0
to develop,13,8,1.625,0.4841229182759271
develop the,1,1,1.0,0.0
the necessary,4,4,1.0,0.0
necessary infrastructure,1,1,1.0,0.0
infrastructure –,1,1,1.0,0.0
– from,26,9,2.888888888888889,1.7916128329552332
from habitats,1,1,1.0,0.0
habitats and,4,4,1.0,0.0
and energy,2,2,1.0,0.0
energy systems,12,4,3.0,2.9154759474226504
systems to,6,5,1.2,0.4
to waste,1,1,1.0,0.0
waste management,10,6,1.6666666666666667,1.1055415967851332
management and,3,3,1.0,0.0
and transportation,4,4,1.0,0.0
networks –,1,1,1.0,0.0
– capable,1,1,1.0,0.0
sustaining a,1,1,1.0,0.0
a thriving,11,6,1.8333333333333333,0.6871842709362768
thriving human,1,1,1.0,0.0
human colony,1,1,1.0,0.0
colony on,1,1,1.0,0.0
on gaia,10,1,10.0,0.0
hope while,1,1,1.0,0.0
while minimizing,25,14,1.7857142857142858,1.0809104250301114
minimizing environmental,9,7,1.2857142857142858,0.45175395145262565
environmental impact,22,9,2.4444444444444446,2.2166597048066667
impact as,1,1,1.0,0.0
as much,2,2,1.0,0.0
much as,1,1,1.0,0.0
as possible,2,2,1.0,0.0
possible .,3,3,1.0,0.0
with their,16,12,1.3333333333333333,0.4714045207910317
their quantum,1,1,1.0,0.0
", they",49,14,3.5,2.1297216451250818
they planned,1,1,1.0,0.0
planned multi-generational,1,1,1.0,0.0
multi-generational journeys,1,1,1.0,0.0
journeys carrying,1,1,1.0,0.0
carrying pioneers,1,1,1.0,0.0
pioneers eager,1,1,1.0,0.0
eager to,15,6,2.5,0.7637626158259734
to establish,13,7,1.8571428571428572,0.8329931278350429
establish the,1,1,1.0,0.0
the first,14,9,1.5555555555555556,0.9558139185602919
first extraterrestrial,1,1,1.0,0.0
extraterrestrial settlement,1,1,1.0,0.0
settlement in,1,1,1.0,0.0
in our,17,10,1.7,0.6403124237432849
our galaxy,4,2,2.0,1.0
and expand,1,1,1.0,0.0
expand humanity,2,2,1.0,0.0
's reach,2,2,1.0,0.0
reach into,3,3,1.0,0.0
cosmos .,11,5,2.2,0.7483314773547882
. while,7,5,1.4,0.4898979485566356
while the,1,1,1.0,0.0
the prospect,1,1,1.0,0.0
prospect of,1,1,1.0,0.0
of interstellar,7,3,2.3333333333333335,0.4714045207910317
interstellar travel,4,3,1.3333333333333333,0.4714045207910317
travel still,1,1,1.0,0.0
still faced,1,1,1.0,0.0
faced numerous,3,2,1.5,0.5
numerous challenges,3,3,1.0,0.0
challenges –,2,1,2.0,0.0
– ranging,1,1,1.0,0.0
ranging from,3,3,1.0,0.0
from funding,1,1,1.0,0.0
funding constraints,1,1,1.0,0.0
constraints to,1,1,1.0,0.0
to political,1,1,1.0,0.0
political uncertainties,1,1,1.0,0.0
uncertainties regarding,1,1,1.0,0.0
regarding international,1,1,1.0,0.0
international cooperation,4,4,1.0,0.0
cooperation for,1,1,1.0,0.0
for large-scale,2,2,1.0,0.0
large-scale projects,2,2,1.0,0.0
projects –,1,1,1.0,0.0
– exoworlds,1,1,1.0,0.0
's achievements,3,2,1.5,0.5
achievements so,1,1,1.0,0.0
so far,2,2,1.0,0.0
far had,1,1,1.0,0.0
had already,2,1,2.0,0.0
already proven,1,1,1.0,0.0
proven that,1,1,1.0,0.0
that dreams,1,1,1.0,0.0
dreams could,1,1,1.0,0.0
could become,1,1,1.0,0.0
become reality,1,1,1.0,0.0
reality with,1,1,1.0,0.0
with enough,1,1,1.0,0.0
enough vision,1,1,1.0,0.0
"vision ,",2,2,1.0,0.0
", determination",2,1,2.0,0.0
"determination ,",4,2,2.0,1.0
and scientific,3,3,1.0,0.0
scientific ingenuity,1,1,1.0,0.0
ingenuity .,4,3,1.3333333333333333,0.4714045207910317
since its,6,5,1.2,0.4
its inception,3,3,1.0,0.0
"inception ,",2,2,1.0,0.0
inc. has,1,1,1.0,0.0
has evolved,2,2,1.0,0.0
evolved from,1,1,1.0,0.0
from a,6,5,1.2,0.4
a fledgling,1,1,1.0,0.0
fledgling start-up,1,1,1.0,0.0
start-up into,1,1,1.0,0.0
into an,4,3,1.3333333333333333,0.4714045207910317
an industry,1,1,1.0,0.0
industry leader,1,1,1.0,0.0
leader in,3,3,1.0,0.0
exploration technology,2,2,1.0,0.0
"technology ,",19,12,1.5833333333333333,0.7592027982620249
", inspiring",6,4,1.5,0.8660254037844386
inspiring countless,1,1,1.0,0.0
countless others,8,2,4.0,3.0
others to,5,4,1.25,0.4330127018922193
to pursue,4,4,1.0,0.0
pursue their,1,1,1.0,0.0
their own,17,9,1.8888888888888888,1.7284832429004493
own interstellar,1,1,1.0,0.0
interstellar dreams,1,1,1.0,0.0
dreams .,3,3,1.0,0.0
with each,15,9,1.6666666666666667,1.247219128924647
each successful,1,1,1.0,0.0
successful mission,1,1,1.0,0.0
mission and,1,1,1.0,0.0
and technological,7,4,1.75,0.82915619758885
technological breakthrough,3,2,1.5,0.5
"breakthrough ,",1,1,1.0,0.0
", dr.",22,2,11.0,8.0
's vision,4,2,2.0,1.0
future among,1,1,1.0,0.0
stars has,1,1,1.0,0.0
has become,9,4,2.25,1.6393596310755
become more,3,3,1.0,0.0
more tangible,1,1,1.0,0.0
tangible than,1,1,1.0,0.0
than ever,15,8,1.875,1.0532687216470449
ever before,14,8,1.75,0.9682458365518543
before –,1,1,1.0,0.0
– a,53,10,5.3,5.119570294468081
a testament,55,15,3.6666666666666665,2.6246692913372702
testament to,70,15,4.666666666666667,3.1552425509864617
to what,7,5,1.4,0.4898979485566356
what can,3,3,1.0,0.0
can be,30,11,2.727272727272727,3.979285205134416
be accomplished,2,2,1.0,0.0
accomplished when,2,2,1.0,0.0
when we,7,5,1.4,0.4898979485566356
we dare,5,3,1.6666666666666667,0.4714045207910317
dare to,5,3,1.6666666666666667,0.4714045207910317
to imagine,1,1,1.0,0.0
imagine what,1,1,1.0,0.0
what lies,1,1,1.0,0.0
lies beyond,1,1,1.0,0.0
beyond our,12,6,2.0,0.816496580927726
our world,4,4,1.0,0.0
"world ,",9,8,1.125,0.33071891388307384
", reach",1,1,1.0,0.0
reach out,1,1,1.0,0.0
out towards,2,1,2.0,0.0
towards the,8,5,1.6,1.2000000000000002
"cosmos ,",1,1,1.0,0.0
and take,1,1,1.0,0.0
take bold,1,1,1.0,0.0
bold steps,1,1,1.0,0.0
steps forward,1,1,1.0,0.0
forward into,1,1,1.0,0.0
into uncharted,5,4,1.25,0.4330127018922193
uncharted territory,1,1,1.0,0.0
territory .,1,1,1.0,0.0
inc. continues,1,1,1.0,0.0
continues its,18,9,2.0,0.9428090415820634
its pioneering,1,1,1.0,0.0
pioneering journey,1,1,1.0,0.0
journey through,3,2,1.5,0.5
through space,2,2,1.0,0.0
space and,7,4,1.75,0.4330127018922193
and time,5,3,1.6666666666666667,0.4714045207910317
"time ,",13,6,2.1666666666666665,1.3437096247164249
", one",8,6,1.3333333333333333,0.4714045207910317
one thing,3,2,1.5,0.5
thing remains,3,2,1.5,0.5
remains clear,2,2,1.0,0.0
clear :,2,2,1.0,0.0
: humanity,1,1,1.0,0.0
